place	lemma_andersen	explanation	year	years	volumes	work	page	occurrences	references	confidence	evidence	geo_id
Hunderup-Skov	Hunderup-Skov	skovområde beliggende ved Odense Å.	1832	1832	16	Levnedsbog	104	1	v16:104 (1832)	medium	located+place-type	
Hundsrück	Hundsrück	bjerglandskab ved Mosel i Rhin-provinsen.	1855	1855	17	Mit Livs Eventyr (inklusive Fortsættelse og Tillæg)	213	1	v17:213 (1855)	medium	located+place-type	
Husaby	Husaby	se kort.	1851	1851	15	I Sverrig	37	1	v15:37 (1851)	high	se-kort	
Hvidehavet	det hvide Hav	Hvidehavet; havbugt i Barentshavet syd for Kolahalvøen.	1851	1851	15	I Sverrig	53	1	v15:53 (1851)	medium	located+place-type	
hvor H. C. Ørsted havde boet	hvor H. C. Ørsted havde boet	H.C. Ørsted havde været i London i sommeren 1846; jf. endvidere Dagbogen 27. juni 1847: »Leicester Square er intet fashionable Qvarteer, efter sligt sees altid i den høiere Verden«.	1869	1869	18	Mit Livs Eventyr (inklusive Fortsættelse og Tillæg)	32	1	v18:32 (1869)	medium	located	
Hällekis	Hellekis	Hällekis; se kort 2.	1851	1851	15	I Sverrig	24	1	v15:24 (1851)	high	se-kort	
i Petersborg	i Petersborg	Adolph Henselt havde siden 1838 opholdt sig i St. Petersborg, hvor han var kammervirtuos hos kejserinden, lærer for de kejserlige børn og inspektør ved musikundervisningen i samtlige statsundervisningsanstalter for piger i Rusland. Om sommeren boede han paa Gersdorf.	1869	1869	18	Mit Livs Eventyr (inklusive Fortsættelse og Tillæg)	196	1	v18:196 (1869)	medium	located+place-type	
in Bosch	in Bosch	skoven het Haagsche Bosch; jf. Dagbogen 20. juni 1847: »Kjørt med Kneppelhaut »in Bosch« hvor der er Musik og Promenade om Søndagen; smukke grønne Engpartier, kom forbi »Haus im Bosch«, kjørte de idylliske Veje med rige Landhuse (...)«.	1869	1869	18	Mit Livs Eventyr (inklusive Fortsættelse og Tillæg)	29	1	v18:29 (1869)	high	head-noun+place-type	
indførte hos os ved Hr Erik Bøgh	indførte hos os ved Hr Erik Bøgh	Erik Bøgh havde 31. december 1848 i Christiania fået opført Nytaarsaften 1848-49 og 31. december 1849 på Casino Nytaarsnat 1850, optakten til de egentlige revyforestillinger. H.C. Andersen så 1. januar 1869 hans Nytaarsnat 1869 på Casino.	1869	1869	18	Mit Livs Eventyr (inklusive Fortsættelse og Tillæg)	325	1	v18:325 (1869)	medium	located	
Ingeborg	hvis Børn | Collins … Datter | hans Børn	Ingeborg, gift 1826 med auditør, Adolph Drewsen; Gottlieb, senere registrator ved pensionskassen; Edvard, senere departementschef og sparekassedirektør; Louise, gift 1840 med auditør Wilkens Lind, og Theodor, senere teaterlæge. ¶ Ingeborg, gift Drewsen. ¶ Ingeborg, Gottlieb, Edvard, Louise og Theodor.	1846	1846 1855	16 17	Mit eget Eventyr uden Digtning	207	3	v16:207 (1846); v16:246 (1846); v17:168 (1855)	high	head-noun+place-type	
Ingeborg Drewsen	Een af dem	Ingeborg Drewsen, som sammen med sin mand havde været sammen med Heiberg i Ems 1839.	1846	1846	16	Mit eget Eventyr uden Digtning	256	1	v16:256 (1846)	high	head-noun+place-type	
Ingeborg Nicoline Collin	Ingeborg | Den ældste Datter	Ingeborg Nicoline Collin, gift Drewsen.	1832	1832	16	Levnedsbog	121	2	v16:121 (1832); v16:144 (1832)	high	head-noun+place-type	
Inqvisitionsfængsler	Inqvisitionsfængsler	fæstningen Castillo de San Jorge husede den spanske inkvisition 1481-1785. Den blev revet ned senere i 1800-tallet.	1863	1863	15	I Spanien	364	1	v15:364 (1863)	high	head-noun+place-type	
Irun	Irun	første by efter grænsen på banestrækningen mod San Sebastian.	1868	1868	15	Et Besøg i Portugal 1866	422	1	v15:422 (1868)	high	head-noun+place-type	
Ischia	Ischia	ø sydvest for Napoli.	1855	1855	17	Mit Livs Eventyr (inklusive Fortsættelse og Tillæg)	151	1	v17:151 (1855)	high	head-noun+located+place-type	
J.C. Dahl	Dahl	J.C. Dahl, norsk landskabsmaler, professor i Dresden.	1846	1846	16	Mit eget Eventyr uden Digtning	315	1	v16:315 (1846)	medium	located	
J. C. Langes Læsebibliothek	J. C. Langes Læsebibliothek	Johannes Christian Lange havde i en årrække et lejebibliotek i København, hvorfra man mod betaling kunne hjemlåne bøger.	1832	1832	16	Levnedsbog	85	1	v16:85 (1832)	medium	located+place-type	
Jativa	Jativa	se kort.	1863	1863	15	I Spanien	250	1	v15:250 (1863)	high	se-kort	
Jenny Lind	Jenny Lind	Jenny Lind, svensk sopran; debuterede i Stockholm 18 år gammel i Carl Maria von Webers opera Der Freischütz, 1821, men hendes stemme blev hurtigt nedslidt. I 1842 indledte hun sin anden karriere med titelrollen i Vicenzo Bellinis opera Norma, 1831. Jenny Lind blev fejret over alt i Europa og USA med tilnavnet »den svenske nattergal«; påvirket af dyb religiøsitet trak hun sig tidligt tilbage fra scenen, men gav dog enkelte koncerter. Også H.C. Andersen tog del i Jenny Lind-feberen; ved hendes ophold i København i juli 1840 mødtes de øjensynligt ikke, snarere traf han hende første gang i København 3. september 1843 hos August Bournonville.	1855	1855	17	Mit Livs Eventyr (inklusive Fortsættelse og Tillæg)	271	1	v17:271 (1855)	medium	located	
Jernporten	Jernporten	Port‚ile de Fier, Donaus 117 km lange dal mellem De Transsylvanske Alper og De Østserbiske Bjerge; en del af grænsen mellem Rumænien og Jugoslavien.	1855	1855	17	Mit Livs Eventyr (inklusive Fortsættelse og Tillæg)	221	1	v17:221 (1855)	medium	located+place-type	
Joseph Alois Daisenberger	Daisenberger	Joseph Alois Daisenberger, sognepræst i Oberammergau fra 1845 til sin død; ændrede i samarbejde med Devrient i 1850’erne passionsspillenes form.	1869	1869	18	Mit Livs Eventyr (inklusive Fortsættelse og Tillæg)	228	1	v18:228 (1869)	medium	located	
José	José	levede som rentier på en smuk ejendom i en lille forstad til Sintra.	1868	1868	15	Et Besøg i Portugal 1866	461	1	v15:461 (1868)	medium	located+place-type	
Jungfernstieg	Jungfernstieg	(tysk) jomfrutrappe; promenade i Hamburg beliggende på sydvest-siden af den kunstige sø Binnen-Alster.	1851	1851	15	I Sverrig	56	1	v15:56 (1851)	high	in-register+located+place-type	geo-6944304
»Jungfernstieg« og »Esplanaden«	»Jungfernstieg« og »Esplanaden«	centrale promenader og handelsgader i Hamburg.	1855	1855	17	Mit Livs Eventyr (inklusive Fortsættelse og Tillæg)	249	1	v17:249 (1855)	medium	located	
Jungfrau	Jomfruen	Jungfrau, bjergtop ca. 60 km sydøst for Bern.	1869	1869	18	Mit Livs Eventyr (inklusive Fortsættelse og Tillæg)	15	1	v18:15 (1869)	medium	located	
Kai Lykke	Kai Lykke(s)	storgodsejeren Kaj Lykke havde ingen tilknytning til Lykkesholm (Løkkesholm, af løkke ‘indhegning’ og -holm i betydningen ‘bakke’).	1855	1855	17	Mit Livs Eventyr (inklusive Fortsættelse og Tillæg)	187	1	v17:187 (1855)	medium	located+place-type	
Kalmar	Calmar	Kalmar; se kort 1.	1851	1851	15	I Sverrig	92	1	v15:92 (1851)	high	se-kort	
Kalø Slot	Kalø Slot	kongeligt borganlæg på en holm i Kalø Vig, hvor Gustav 1. Vasa blev sat i arrest 1518. Den svenske konges eventyr er genfortalt efter Afzelius (bd. V, s. 238-261).	1851	1851	15	I Sverrig	92	1	v15:92 (1851)	medium	located+place-type	
Karoline von Wolzogen	Fru von Wolzogen	Karoline von Wolzogen, søster til Charlotte von Schiller (1790 gift med Friedrich von Schiller). Karoline von Wolzogens roman Agnes von Lilien udkom 1798.	1855	1855	17	Mit Livs Eventyr (inklusive Fortsættelse og Tillæg)	318	1	v17:318 (1855)	medium	located	
Kastaliavæld	Kastaliavæld	kilde på Parnassosbjerget ved Delfi, der ifølge legenden har fået sit navn efter en pige, der druknede sig for at undslippe Apollons forfølgelse. Den blev anset for at kunne skænke poetisk inspiration.	1851	1851	15	I Sverrig	115	1	v15:115 (1851)	high	head-noun+located+place-type	
Kilden	Kilden	kan ikke bestemmes med sikkerhed, da der ligger en række kilder tæt ved Odense.	1832	1832	16	Levnedsbog	59	1	v16:59 (1832)	medium	located	
Kinne-Kleva	Kleven	Kinne-Kleva; se kort 2.	1851	1851	15	I Sverrig	26	1	v15:26 (1851)	high	se-kort	
Kinnekulle	Kinnekulle	se kort 2.	1851	1851	15	I Sverrig	24	1	v15:24 (1851)	high	se-kort	
Kinnekulle … Hamilton	Kinnekulle … Hamilton(s)	30. juli 1849 ankom H.C. Andersen til grev Hugo David Hamiltons gods på Hönsäter ved Venerns østkyst, 31. juli besøgtes bjerget Kinnekulle og 1. august fortsatte H.C. Andersen videre til grev Hamiltons søn, Adolf Ludvig Hamilton, på Blomberg, som var gift med historikeren Erik Gustaf Geijers datter, Agnes. Den 2. august fortsatte han fra Hellekis med damperen til Venersborg.	1869	1869	18	Mit Livs Eventyr (inklusive Fortsættelse og Tillæg)	104	1	v18:104 (1869)	medium	located+place-type	
Kirke	Kirke	Lima kyrka; stenkirke fra middelalderen, der nedbrændte i 1852.	1851	1851	15	I Sverrig	94	1	v15:94 (1851)	high	head-noun+place-type	
Kjøbsted	Kjøbsted	(dialekt) købstad.	1832	1832	16	Levnedsbog	161	1	v16:161 (1832)	high	head-noun+place-type	
Kloster Mølk ved Donau	Kloster Mølk ved Donau	benediktinerkloster grundlagt 1089 ved byen Melk 80 km vest for Wien på en klippe højt over floden; var hovedkvarter for Napoleon, da han indtog Wien i 1809.	1855	1855	17	Mit Livs Eventyr (inklusive Fortsættelse og Tillæg)	162	1	v17:162 (1855)	high	head-noun+place-type	
Klosteret	Klosteret	Klosteret, opført første gang på Det Kgl. Teater 1816.	1855	1855	17	Mit Livs Eventyr (inklusive Fortsættelse og Tillæg)	109	1	v17:109 (1855)	high	head-noun+located+place-type	
Klosterkirken	Klosterkirken	middelalderkirke hørende til Slagelse Hospital (Slagelse Gammel Kloster), delvist nedrevet 1862. Erstattet af den nuværende Helligåndskirke.	1832	1832	16	Levnedsbog	102	1	v16:102 (1832)	high	head-noun+located+place-type	
Knivsholt, Flade Banker og Bangsbo	Knivsholt, Flade Banker og Bangsbo	Knivholt og Bangsbo er middelalderlige hovedgårde syd for Frederikshavn, oprettet henholdsvis 1419 og o. 1364 (nævnt første gang), mens Fladestrand (Flade Banker) var et fiskerleje oprindeligt underlagt de to hovedgårde.	1860	1860	15	Folkekalender for Danmark	187	1	v15:187 (1860)	medium	located+place-type	
Kongens Nytorv	Kongens Nytorv	før torvets anlæggelse var området, i daglig tale kaldet Hallandsaasen, sumpet og vanskeligt farbart.	1855	1855	17	Mit Livs Eventyr (inklusive Fortsættelse og Tillæg)	57	1	v17:57 (1855)	high	in-register	place-000062
Kopparberget	Kopparberget	(svensk) kobberbjerget. Navn på såvel området som malmminen i Falun. Se kort 1-2.	1851	1851	15	I Sverrig	91	1	v15:91 (1851)	high	se-kort+head-noun+place-type	
Korsnäs	Korsnæs	Korsnäs; se kort 2.	1851	1851	15	I Sverrig	93	1	v15:93 (1851)	high	se-kort	
kort efter … i den flyvende Post	kort efter … i den flyvende Post	»Det døende Barn« blev først trykt over i et år senere i Kjøbenhavns flyvende Post, nemlig i nr. 99, 12. december 1828, med den redaktionelle bemærkning: »Uagtet nærværende Digt allerede tilforn har været trykt i et andet Blad, saa gjør den flyvende Post sig dog en Fornøielse af at opbevare det i sit Archiv, og derved opfylde Forfatterens Ønske«.	1855	1855	17	Mit Livs Eventyr (inklusive Fortsættelse og Tillæg)	79	1	v17:79 (1855)	medium	located	
Kullen	Kullen | Kullen(s)	halvø beliggende mellem Skälderviken og Øresund. ¶ halvø mellem Skälderviken og Øresund. ¶ halvø mellem Skälderviken på den svenske Kattegatkyst og Øresund.	1832	1832 1855	16 17	Levnedsbog	132	3	v16:132 (1832); v17:71 (1855); v17:302 (1855)	high	in-register+head-noun+located+place-type	geo-2698848
Kärna	Kärna	(svensk) kerne. I midten af 1200-tallet lod Birger Jarl opføre et fæstningsværk på Stadsholmen (nuværende Gamla Stan), som blev til det senere Stockholms slott. I midten var et rundt tårn, som kaldtes Kärnan og senere Tre kronor.	1851	1851	15	I Sverrig	55	1	v15:55 (1851)	medium	located	
Købmagergade	Kjøbmagergade	Købmagergade, sidegade til Østergade ved Amagertorv.	1855	1855	17	Mit Livs Eventyr (inklusive Fortsættelse og Tillæg)	46	1	v17:46 (1855)	high	head-noun+located+place-type	
L.C. Brinck-Seidelin	Brinck Seidelin	L.C. Brinck-Seidelin, konferensråd, var 1815-1845 amtsforvalter i Hjørring, stænderdeputeret og senere medlem af den grundlovgivende rigsforsamling.	1869	1869	18	Mit Livs Eventyr (inklusive Fortsættelse og Tillæg)	222	1	v18:222 (1869)	medium	located	
l’étang de Thau	l’étang de Thau	stor kystsø i Languedoc ved Middelhavet.	1846	1846	16	Mit eget Eventyr uden Digtning	327	1	v16:327 (1846)	medium	located+place-type	
La Carolina	la Carolina	La Carolina, se kort; byen er grundlagt af Karl 3. (1716-1788, konge fra 1759) i 1767-1770 som led i nybefolkningen af området i Sierra Morena, fortrinsvis med tyske indvandrere.	1863	1863	15	I Spanien	377	1	v15:377 (1863)	high	se-kort+head-noun+place-type	
La Junquera	la Junquera	La Junquera, se kort.	1863	1863	15	I Spanien	223	1	v15:223 (1863)	high	se-kort	
La Scala	La Scala	Milanos operahus, Teatro alla Scala.	1855	1855	17	Mit Livs Eventyr (inklusive Fortsættelse og Tillæg)	127	1	v17:127 (1855)	high	in-register	geo-6949434
La Storta	La Storta	sidste station på diligencerejsen til Rom, knap 30 km nord for Rom.	1855	1855	17	Mit Livs Eventyr (inklusive Fortsættelse og Tillæg)	134	1	v17:134 (1855)	high	in-register	geo-3175075
La Torro del Oro	La Torro del Oro	El Torre del Oro, (spansk) guldtårnet; oprindeligt en del af fæstningsværket omkring Alcázar.	1863	1863	15	I Spanien	364	1	v15:364 (1863)	medium	located	
laae paa Bakkehuset	laae paa Bakkehuset	fru Colbiørnsen og hendes døtre havde lejet sig ind i Bakkehuset for sommeren.	1832	1832	16	Levnedsbog	90	1	v16:90 (1832)	medium	located	
Lago Maggiore	Lago magiore | Lago Maggiore	Lago Maggiore; se kort. ¶ lang, smal sø i De Italienske Alper.	1855	1855 1870	15 17	Mit Livs Eventyr (inklusive Fortsættelse og Tillæg)	127	2	v17:127 (1855); v15:490 (1870)	high	se-kort+in-register+located+place-type	geo-2659792
Land of brown heath … the flood!	Land of brown heath … the flood!	(engelsk) den brune hede og den uvejsomme skovs land, / bjergets og flodens land!; fra Walter Scotts The Lay of the Last Minstrel, 6. sang, 1805.	1869	1869	18	Mit Livs Eventyr (inklusive Fortsættelse og Tillæg)	54	1	v18:54 (1869)	high	head-noun+located+place-type	
Landgrevinden	Landgrevinden	Charlotte af Hessen-Kassel. Hun var søster til Christian 8. og gift med landgreve Vilhelm af Hessen-Kassel. Hun døde 28. marts 1864 i København.	1869	1869	18	Mit Livs Eventyr (inklusive Fortsættelse og Tillæg)	275	1	v18:275 (1869)	medium	located	
Lappland	Lapland(s)	Lappland; landskab i Nordsverige.	1851	1851	15	I Sverrig	22	1	v15:22 (1851)	high	head-noun+located+place-type	
Le Locle	Locle	Le Locle, by i Jurabjergene lidt nordvest for Neuchâtel; se kort.	1869	1869	15	For Romantik og Historie	483	1	v15:483 (1869)	high	se-kort+located+place-type	
Leckø gamle Slot	Leckø gamle Slot	Läckö slott på Kållandsö (se kort 2). Anlagt i slutningen af 1300-tallet og senere udbygget til et barokslot.	1851	1851	15	I Sverrig	25	1	v15:25 (1851)	high	se-kort+located	
Leksand	Leksand | Leksand(s)	se kort 2. ¶ by ved Siljansøen i Sverige.	1851	1851 1869	15 18	I Sverrig	85	2	v15:85 (1851); v18:315 (1869)	high	se-kort+head-noun+located+place-type	
Libau i Cuurland	Libau i Cuurland	by beliggende i landskabet Kurland i det vestlige Letland. Kurland hørte i perioden 1795-1915 under Rusland, men blev dog styret af den lokale tyske adel. Først i 1918 blev Kurland en del af Letland.	1832	1832	16	Levnedsbog	139	1	v16:139 (1832)	high	head-noun+place-type	
Lidköping	Lidkøping	Lidköping; se kort 2.	1851	1851	15	I Sverrig	25	1	v15:25 (1851)	high	se-kort	
Lima	Lima	se kort 2.	1851	1851	15	I Sverrig	94	1	v15:94 (1851)	high	se-kort	
Linth-Canalen … Wallenstädtersøe	Linth-Canalen … Wallenstädtersøe	Linthkanal ved floden Weesen fører ud i Wallensee; se kort.	1858	1858	15	Fortællinger og Vers for Større og Mindre	153	1	v15:153 (1858)	high	se-kort+place-type	
Lissabon	Lissabon	Portugals hovedstad ved Atlanterhavskysten.	1868	1868	15	Et Besøg i Portugal 1866	428	1	v15:428 (1868)	medium	located+place-type	
Livorno	Livorno	se kort. ¶ hvortil turen gik den 6. oktober med hjemkomst dagen efter.	1855	1855 1861 1870	15 17	Mit Livs Eventyr (inklusive Fortsættelse og Tillæg)	130	3	v17:130 (1855); v15:216 (1861); v15:490 (1870)	high	in-register+se-kort	geo-3174659
Loja	Loja	se kort.	1863	1863	15	I Spanien	290	1	v15:290 (1863)	high	se-kort	
Lorelei	Lore-Ley | Loreley	Lorelei; 132 m højt, næsten lodret klippeparti ved Rhinen. Gennem kunsteventyr og sagn er Lorelei blevet personificeret som en fortryllende og forførende kvinde, der lokkede sejlende (mænd) i døden. Fremtrædende behandlinger af Lorelei-figuren findes i Clemens Maria Brentanos (1778-1842) digt »Zu Bacharach am Rheine« fra den anonymt udgivne roman Godwi oder Das steinerne Bild der Mutter. Ein verwilderter Roman, 1801-1802 (2. del, 36. kapitel) og Heinrich Heines (1797-1856) digt »Ich weiß nicht, was soll es bedeuten«, der blev trykt i Der Gesellschafter oder Blätter für Geist und Herz, 26. marts 1824. ¶ Lorelei; 132 m højt, næsten lodret klippeparti ved Rhinen.	1851	1851 1855	15 17	I Sverrig	123	2	v15:123 (1851); v17:110 (1855)	medium	located	
Louis Jürgensen	Louis Jürgensen	formentlig Jules Jürgensen, bror til Louis Urban Jørgensen.	1869	1869	18	Mit Livs Eventyr (inklusive Fortsættelse og Tillæg)	329	1	v18:329 (1869)	medium	located	
Lykkesholm	Lykkesholm	hovedgård i Vindinge Herred ca. 14 km sydvest for Nyborg; ejeren var justitsrådinde Johanne Lindegaard. H.C. Andersen kom der især 1835-1839. ¶ Lykkesholm Slot i Ørbæk, 14 km sydvest for Nyborg, hvor H.C. Andersen var kommet siden 1832 og især 1835-1839 var en flittig gæst.	1846	1846 1855	16 17	Mit eget Eventyr uden Digtning	245	2	v16:245 (1846); v17:187 (1855)	high	head-noun+located+place-type	
Macao	Macao	portugisisk koloni på Kinas sydkyst 60 km vest for Hongkong.	1868	1868	15	Et Besøg i Portugal 1866	438	1	v15:438 (1868)	medium	located+place-type	
Madrid	Madrid	se kort. ¶ Spaniens hovedstad beliggende ca. 215 km syd for Burgos i det centrale højland.	1863	1863 1868	15	I Spanien	251	2	v15:251 (1863); v15:423 (1868)	high	se-kort+located+place-type	
Maidstone	Maidstone	by mellem London og havnebyen Folkstone vest for Dover.	1860	1860	15	Berlingske politiske Avertissements-Tidende	183	1	v15:183 (1860)	high	head-noun+located+place-type	
Manzanares	Manzanares	flod, der løber på vestsiden af slottet og Campo del Moro.	1863	1863	15	I Spanien	384	1	v15:384 (1863)	high	head-noun+place-type	
Marathons Slette	Marathons Slette	på denne slette i Grækenland besejrede en talmæssigt underlegen athensk styrke en persisk invasionsstyrke i 490 f.Kr.	1851	1851	15	I Sverrig	54	1	v15:54 (1851)	medium	located+place-type	
Marie Bunkeflod	hans Enke og Søster | Madam Bunkeflod | Madam Bunkeflod og hendes Mands Søster	Marie Bunkeflod, som var enke efter digterpræsten Hans Christian Bunkeflod, boede sammen med sin svigerinde i de såkaldte Eilschous Boliger, en stiftelse for borgerskabets enlige, trængende kvinder. Stiftelsen lå i Munkemøllestræde over for H.C. Andersens barndomshjem. ¶ Marie Bunkeflod, f. Petersen, enke efter sognepræsten ved St. Hans Kirke, digteren Hans Christian Bunkeflod. Hun boede sammen med sin mands søster Anna Margrethe Bunkeflod. ¶ Marie Bunkeflod, som var enke efter digterpræsten Hans Christian Bunkeflod, boede sammen med sin svigerinde i de såkaldte Eilschous Boliger, en stiftelse oprettet 1776-1781 for borgerskabets enlige, trængende kvinder; stiftelsen lå i Munkemøllestræde over for H.C. Andersens barndomshjem.	1832	1832 1846 1855	16 17	Levnedsbog	63	3	v16:63 (1832); v16:187 (1846); v17:25 (1855)	high	head-noun+place-type+located	
Mariehøi … hos Bogtrykker Iversens Enke	Mariehøi … hos Bogtrykker Iversens Enke	landstedet Mariehøj (Tolderlund) ved kanalen nord for Odense, hvor H.C. Andersen tilbragte tre uger hos Kirstine Marie Iversen.	1855	1855	17	Mit Livs Eventyr (inklusive Fortsættelse og Tillæg)	86	1	v17:86 (1855)	medium	located+place-type	
Marienlyst	Marienlyst	Marienlyst Slot. Tidligere lystslot beliggende i Helsingør. Opført ca. 1588 for Frederik 2., udbygget 1759-1763. Indtil 1766, hvor enkedronning (efter Frederik 5.) Juliane Marie overtog slottet, hed det Lundehave. I 1851 overtog Helsingør Kommune slottet, der siden 1930 har været museum.	1832	1832	16	Levnedsbog	129	1	v16:129 (1832)	medium	located+place-type	
Mariestad	Mariestad(s)	se kort 2.	1851	1851	15	I Sverrig	24	1	v15:24 (1851)	high	se-kort	
Marmorhavet	Marmorhavet	Marmarahavet.	1855	1855	17	Mit Livs Eventyr (inklusive Fortsættelse og Tillæg)	219	1	v17:219 (1855)	high	head-noun+place-type	
Marnäs	Marnäs	se kort 2.	1851	1851	15	I Sverrig	93	1	v15:93 (1851)	high	se-kort	
Masanasa	Masanasa	uvis betydning; muligvis Massanassa, navn på landsby ca. 6 km syd for Valencia.	1863	1863	15	I Spanien	224	1	v15:224 (1863)	medium	located+place-type	
Medinya	Medina	Medinya, ca. 7 km nord for Gerona, se kort.	1863	1863	15	I Spanien	225	1	v15:225 (1863)	high	se-kort	
Meisling … som Rector	Meisling … som Rector	Meisling blev 16. juli 1823 i Klosterkirken i Slagelse indsat i rektorembedet af biskop Friederich Christian Carl Heinrich Münter.	1832	1832	16	Levnedsbog	102	1	v16:102 (1832)	medium	located+place-type	
Mem	Mem	by ved Göta kanals udmunding i Slätbaken, som fører ud i Østersøen (se kort 2). Her blev kanalen indviet i 1832.	1851	1851	15	I Sverrig	51	1	v15:51 (1851)	high	se-kort+head-noun+located+place-type	
Michel Levin	Jøden under Træet	Michel Levin, der i over 50 år optrådte som visesanger på Dyrehavsbakken.	1855	1855	17	Mit Livs Eventyr (inklusive Fortsættelse og Tillæg)	50	1	v17:50 (1855)	medium	located	
Min Biograph i »Dansk Pantheon«	Min Biograph i »Dansk Pantheon«	kritikeren P.L. Møller havde i XXX. Levering af Dansk Pantheon, juni 1845, givet en smuk karakteristik af H.C. Andersen, som medbragte et eksemplar af den på rejsen i 1846 og benyttede den under undarbejdelsen af selvbiografien.	1846	1846	16	Mit eget Eventyr uden Digtning	264	1	v16:264 (1846)	medium	located	
min Fest i Odense	min Fest i Odense	i forbindelse med H.C. Andersens udnævnelse til æresborger i Odense den 6. december 1867.	1869	1869	18	Mit Livs Eventyr (inklusive Fortsættelse og Tillæg)	354	1	v18:354 (1869)	medium	located	
Minaret	Minaret(erne)	tårn ved den muslimske moske, hvorfra der kaldes til bøn.	1855	1855	17	Mit Livs Eventyr (inklusive Fortsættelse og Tillæg)	343	1	v17:343 (1855)	high	head-noun+place-type	
mit Creditiv var endnu ikke indtruffet	mit Creditiv var endnu ikke indtruffet	Jonas Collin havde 28. april 1846 afsendt et kreditiv på 500 rigsdaler til H.C. Andersen, der modtog det 18. maj; det havde da ligget hos Karl Rothschild siden 13. maj. Karl Rothschild var leder af Rothschild-husets Napoli-afdeling.	1855	1855	17	Mit Livs Eventyr (inklusive Fortsættelse og Tillæg)	333	1	v17:333 (1855)	medium	located	
Mondegoflod	Mondegoflod	se kort.	1868	1868	15	Et Besøg i Portugal 1866	461	1	v15:461 (1868)	high	se-kort	
Mont Serrat	Mont Serrat	bjerg nordvest for Barcelona, hvis navn kan betyde savtakket bjerg (latin) el. helligt bjerg (catalansk). Bjerget er pilgrimsmål især pga. benediktinerklosterets sorte Madonnastatue, som ifølge traditionen er skåret af sankt Lukas.	1863	1863	15	I Spanien	240	1	v15:240 (1863)	high	head-noun+located+place-type	
Monte Arrabida	Monte Arrabida	se kort.	1868	1868	15	Et Besøg i Portugal 1866	445	1	v15:445 (1868)	high	se-kort	
Monte pozio	Monte pozio	byen Monte Porzio Catone, 2,5 km fra Tusculum.	1855	1855	17	Mit Livs Eventyr (inklusive Fortsættelse og Tillæg)	137	1	v17:137 (1855)	high	head-noun+place-type	
Montefiascone	Montefiascone	vinby 80 km nord for Rom, berømt for hvidvinen Est!Est!Est!	1855	1855	17	Mit Livs Eventyr (inklusive Fortsættelse og Tillæg)	154	1	v17:154 (1855)	high	head-noun+located+place-type	
Mora	Mora	se kort 2.	1851	1851	15	I Sverrig	94	1	v15:94 (1851)	high	se-kort	
Mosenthal læste siden … min Oversættelse	Mosenthal læste siden … min Oversættelse	ifølge Almanakken sendte H.C. Andersen 10. marts 1855 En Landsbyhistorie til Salomon Hermann Mosenthal, 18. april modtog han Mosenthals tak.	1869	1869	18	Mit Livs Eventyr (inklusive Fortsættelse og Tillæg)	155	1	v18:155 (1869)	medium	located	
Mosenthals »Volksschauspiel«	Mosenthals »Volksschauspiel«	»Der Sonnwendhof«: H.C. Andersen havde i Wien 27. maj 1854 set Salomon Hermann Mosenthals Der Sonnwendhof opført; forfatteren overlod H.C. Andersen manuskriptet (der først tryktes 1857) til brug for sin oversættelse, jf. BfA 276.	1869	1869	18	Mit Livs Eventyr (inklusive Fortsættelse og Tillæg)	153	1	v18:153 (1869)	medium	located	
Motala	Motala	se kort 1-2.	1851	1851	15	I Sverrig	18	1	v15:18 (1851)	high	se-kort	
Museet	Museet	Pradomuseet.	1863	1863	15	I Spanien	388	1	v15:388 (1863)	high	in-register	place-000050
Musæet	Musæet	formentlig Rijksmuseum, åbnet 1800; i 1866 havde det til huse i Trippenhuis.	1869	1869	18	Mit Livs Eventyr (inklusive Fortsættelse og Tillæg)	298	1	v18:298 (1869)	medium	located	
Málaga	Malaga	Málaga, se kort.	1863	1863	15	I Spanien	256	1	v15:256 (1863)	high	se-kort	
Mälaran	Mälaran(s)	Sveriges tredjestørste sø; se kort.	1851	1851	15	I Sverrig	55	1	v15:55 (1851)	high	se-kort	
Møntergaden	Møntergaden	sidegade til Gothersgade i København.	1855	1855	17	Mit Livs Eventyr (inklusive Fortsættelse og Tillæg)	132	1	v17:132 (1855)	high	head-noun+located+place-type	
Münsterdorph	Münsterdorph(s)	mindre by 2 km vest for Breitenburg.	1855	1855	17	Mit Livs Eventyr (inklusive Fortsættelse og Tillæg)	207	1	v17:207 (1855)	high	head-noun+located+place-type	
Nei Danmark … atter	Nei Danmark … atter	»Inpromtu til Thorvaldsen, da han paa Nysø havde fuldendt i Leer Holbergs Buste«, fremsagt på Nysø om aftenen 16. august 1839, da busten blev taget ud af (gips)formen.	1855	1855	17	Mit Livs Eventyr (inklusive Fortsættelse og Tillæg)	240	1	v17:240 (1855)	medium	located	
Nepi	Nepi	lille by ved bjerget monte Soracte, ca. 40 km nord for Rom.	1855	1855	17	Mit Livs Eventyr (inklusive Fortsættelse og Tillæg)	134	1	v17:134 (1855)	high	in-register+head-noun+place-type	geo-3172322
Niagara Falls	Niagara	Niagara Falls, ca. 50 m høje vandfald i Nordamerika.	1863	1863	15	I Spanien	413	1	v15:413 (1863)	medium	located+place-type	
